name,rating,atnm,region_name,outdoor_swimming_pool,restaurant,excellent_breakfast,free_parking,free_wifi,fitness_center,breakfast,bar,very_good_breakfast,indoor_swimming_pool,spa,3_swimming_pools,2_swimming_pools,4_swimming_pools,room_service,beachfront,private_beach_area,wifi_in_all_areas
Three Bears Lodge,9,Hotels,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sands Motel,8.2,Motels,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lofts @ Sterling & Sage,9,Hotels,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Super 8 by Wyndham Bernalillo,6.4,Hotels,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Brentwood Inn & Suites,7.1,Hotels,New Mexico,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0
Comfort Inn & Suites Lordsburg I-10,8.5,Hotels,New Mexico,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0
"Motel 6-Bernalillo, NM",5.3,Hotels,New Mexico,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Econo Lodge Santa Rosa,7.9,Motels,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
La Quinta by Wyndham Ruidoso Downs,8,Hotels,New Mexico,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
GreenTree Inn Albuquerque North I-25,7.2,Hotels,New Mexico,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
"Holiday Inn Express Santa Rosa, an IHG Hotel",8.5,Hotels,New Mexico,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
"Holiday Inn Express & Suites Deming Mimbres Valley, an IHG Hotel",8.3,Hotels,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
White Sands Motel,8.7,Motels,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Best Western Grants Inn,7.5,Hotels,New Mexico,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
Best Western Plus Montezuma Inn and Suites,7.3,Hotels,New Mexico,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
Comfort Suites Gallup East Route 66 and I-40,8.3,Hotels,New Mexico,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
Quality Inn Moriarty,7.6,Hotels,New Mexico,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
High Country Lodge,8.7,Motels,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pueblo Canyon Inn,9.2,Bed and Breakfasts,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Hotel Artesia,8.7,Hotels,New Mexico,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
Comfort Suites Carlsbad,9,Hotels,New Mexico,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
Super 8 Belen,5,Hotels,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Elephant Butte Inn,6.6,Inns,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Comfort Inn & Suites,8.3,Hotels,New Mexico,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
Quality Inn Clovis,6.4,Hotels,New Mexico,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Lea County Inn,8.9,Hotels,New Mexico,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
"Holiday Inn Express Hotel & Suites Las Vegas, an IHG Hotel",8.4,Hotels,New Mexico,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
La Quinta by Wyndham Carlsbad,8.1,Hotels,New Mexico,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
Best Western Plus the Four Corners Inn,8.2,Motels,New Mexico,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0
"Holiday Inn Express & Suites Alamogordo Highway 54/70, an IHG Hotel",8.4,Hotels,New Mexico,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
"Holiday Inn Express Albuquerque N - Bernalillo, an IHG Hotel",8.6,Hotels,New Mexico,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
"El Sendero Inn, Ascend Hotel Collection",8.1,Hotels,New Mexico,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Sleep Inn & Suites Carlsbad Caverns Area,8.5,Hotels,New Mexico,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0
Hyatt Regency Tamaya South Santa Fe,8.3,Resorts,New Mexico,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0
Ruidoso Mountain Inn,8.1,Hotels,New Mexico,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
Days Inn by Wyndham Bernalillo,7.3,Hotels,New Mexico,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
Red Roof Inn Gallup,7.3,Motels,New Mexico,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
The Yoga Yurta at Sunny Mellow Eco Villa,8.9,Villas,New Mexico,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Days Inn by Wyndham Socorro,5.4,Inns,New Mexico,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Motel 6-Silver City, NM",4.8,Hotels,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
